OTU_1	OTU_0	96.0
OTU_0	OTU_1	96.0
OTU_7	OTU_6	96.8
OTU_7	OTU_14	90.9
OTU_6	OTU_7	96.8
OTU_6	OTU_14	90.9
OTU_10	OTU_43	94.9
OTU_10	OTU_84	94.9
OTU_10	OTU_73	93.3
OTU_11	OTU_13	94.5
OTU_11	OTU_12	94.1
OTU_12	OTU_13	96.8
OTU_12	OTU_11	94.1
OTU_13	OTU_12	96.8
OTU_13	OTU_11	94.5
OTU_15	OTU_14	94.1
OTU_14	OTU_15	94.1
OTU_14	OTU_6	90.9
OTU_14	OTU_7	90.9
OTU_20	OTU_19	91.7
OTU_19	OTU_20	91.7
OTU_24	OTU_23	91.7
OTU_23	OTU_24	91.7
OTU_29	OTU_52	93.3
OTU_29	OTU_27	92.5
OTU_29	OTU_49	92.1
OTU_29	OTU_30	91.7
OTU_29	OTU_47	91.7
OTU_27	OTU_49	94.5
OTU_27	OTU_54	93.3
OTU_27	OTU_52	92.9
OTU_27	OTU_29	92.5
OTU_27	OTU_47	92.5
OTU_27	OTU_55	91.7
OTU_27	OTU_30	91.3
OTU_30	OTU_86	96.0
OTU_30	OTU_55	94.1
OTU_30	OTU_54	92.1
OTU_30	OTU_29	91.7
OTU_30	OTU_27	91.3
OTU_30	OTU_52	90.9
OTU_30	OTU_56	90.9
OTU_43	OTU_10	94.9
OTU_43	OTU_84	92.1
OTU_43	OTU_73	91.7
OTU_47	OTU_49	94.1
OTU_47	OTU_27	92.5
OTU_47	OTU_52	92.5
OTU_47	OTU_29	91.7
OTU_47	OTU_54	90.5
OTU_49	OTU_27	94.5
OTU_49	OTU_47	94.1
OTU_49	OTU_29	92.1
OTU_49	OTU_52	92.1
OTU_49	OTU_54	91.7
OTU_49	OTU_56	90.5
OTU_50	OTU_51	90.9
OTU_52	OTU_29	93.3
OTU_52	OTU_27	92.9
OTU_52	OTU_47	92.5
OTU_52	OTU_49	92.1
OTU_52	OTU_30	90.9
OTU_52	OTU_55	90.9
OTU_51	OTU_50	90.9
OTU_54	OTU_56	95.3
OTU_54	OTU_55	94.5
OTU_54	OTU_27	93.3
OTU_54	OTU_30	92.1
OTU_54	OTU_49	91.7
OTU_54	OTU_47	90.5
OTU_55	OTU_54	94.5
OTU_55	OTU_30	94.1
OTU_55	OTU_86	92.5
OTU_55	OTU_27	91.7
OTU_55	OTU_56	91.7
OTU_55	OTU_52	90.9
OTU_56	OTU_54	95.3
OTU_56	OTU_55	91.7
OTU_56	OTU_30	90.9
OTU_56	OTU_49	90.5
OTU_60	OTU_80	92.5
OTU_62	OTU_78	90.1
OTU_63	OTU_64	96.4
OTU_63	OTU_65	96.4
OTU_65	OTU_63	96.4
OTU_65	OTU_64	95.3
OTU_64	OTU_63	96.4
OTU_64	OTU_65	95.3
OTU_73	OTU_84	95.3
OTU_73	OTU_10	93.3
OTU_73	OTU_43	91.7
OTU_78	OTU_62	90.1
OTU_80	OTU_60	92.5
OTU_84	OTU_73	95.3
OTU_84	OTU_10	94.9
OTU_84	OTU_43	92.1
OTU_86	OTU_30	96.0
OTU_86	OTU_55	92.5
OTU_88	OTU_89	95.3
OTU_89	OTU_88	95.3
